aa; Qafár af
nso; Sesotho sa Leboa
nv; Diné bizaad
ny; Chi-Chewa
oc; Occitan
om; Oromoo
or; ଓଡ଼ିଆ
os; Ирон
pa; ਪੰਜਾਬੀ
pag; Pangasinan
pam; Kapampangan
pap; Papiamentu
pcd; Picard
pi; पािऴ
pih; Norfuk / Pitkern
pl; Polski
pl; Polski
pms; Piemontèis
pnb; پنجابی
pnt; Ποντιακά
prg; Prūsiskan
ps; پښتو
pt; Português
pt-br; Português do Brasil
pt-br; Português do Brasil
qu; Runa Simi
qug; Runa shimi
rgn; Rumagnôl
rif; Tarifit
rm; Rumantsch
rmy; Romani
rn; Kirundi
ro; Română
roa-rup; Armãneashce
roa-tara; Tarandíne
ru; Русский
ru; Русский
rue; Русиньскый
rup; Armãneashce
ruq; Vlăheşte
ruq-cyrl; Влахесте
ruq-latn; Vlăheşte
rw; Kinyarwanda
sa; संस्कृतम्
sah; Саха тыла
sc; Sardu
scn; Sicilianu
sco; Scots
sd; سنڌي
sdc; Sassaresu
se; Sámegiella
sei; Cmique Itom
sg; Sängö
sgs; Žemaitėška
sh; Srpskohrvatski / Српскохрватски
shi; Tašlḥiyt/ⵜⴰⵛⵍⵃⵉⵜ
shi-latn; Tašlḥiyt
shi-tfng; ⵜⴰⵛⵍⵃⵉⵜ
si; සිංහල
sk; Slovenčina
sl; Slovenščina
sli; Schläsch
sm; Gagana Samoa
sma; Åarjelsaemien
sn; chiShona
so; Soomaaliga
sq; Shqip
sr; Српски / Srpski
sr-ec; ‪Српски (ћирилица)‬
sr-el; ‪Srpski (latinica)‬
srn; Sranantongo
ss; SiSwati
st; Sesotho
stq; Seeltersk
su; Basa Sunda
sv; Svenska
sw; Kiswahili
szl; Ślůnski
ta; தமிழ்
tcy; ತುಳು
te; తెలుగు
tet; Tetun
tg; Тоҷикӣ
tg-cyrl; Тоҷикӣ
tg-latn; tojikī
th; ไทย
ti; ትግርኛ
tk; Türkmençe
tl; Tagalog
tly; толышә зывон
tn; Setswana
to; lea faka-Tonga
tpi; Tok Pisin
tr; Türkçe
ts; Xitsonga
tt; Татарча/Tatarça
tt-cyrl; Татарча
tt-latn; Tatarça
tum; chiTumbuka
tw; Twi
ty; Reo Mā`ohi
tyv; Тыва дыл
udm; Удмурт
ug; ئۇيغۇرچە / Uyghurche‎
ug-arab; ئۇيغۇرچە
ug-latn; Uyghurche‎
uk; Українська
ur; اردو
uz; O'zbek
val; Valencià
ve; Tshivenda
vec; Vèneto
vep; Vepsän kel'
vi; Tiếng Việt
vls; West-Vlams
vmf; Mainfränkisch
vo; Volapük
vot; Vaďďa
vro; Võro
wa; Walon
war; Winaray
wo; Wolof
wuu; 吴语
xal; Хальмг
xh; isiXhosa
xmf; მარგალური
yi; ייִדיש
yo; Yorùbá
yue; 粵語
za; Vahcuengh
zea; Zeêuws
zh; 中文
zh; 中文
zu; isiZulu
